"species","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"Tapirus terrestris",-45.189468,-23.298593,17.308572769165,10.8709373474121,57.2968826293945,256.903961181641,25.8427505493164,6.86975002288818,18.9729995727539,20.2499160766602,13.991250038147,20.3187503814697,13.991250038147,1567,259,31,64.3192291259766,729,125,696,125
"Tapirus terrestris",-46.808182,-23.798281,18.0020618438721,8.82350063323975,56.1416320800781,242.765869140625,25.2970008850098,9.58049964904785,15.7165012359619,20.8232498168945,15.0059585571289,20.9415416717529,15.0059585571289,1722,265,57,52.1199188232422,726,184,707,184
"Tapirus terrestris",-54.046969,-25.975809,19.3195419311523,12.5408744812012,56.0022964477539,361.44482421875,30.152250289917,7.75874996185303,22.3935012817383,23.5964164733887,15.8540840148926,23.5964164733887,14.8747081756592,1772,199,110,18.0109577178955,505,371,505,372
"Tapirus terrestris",-54.089456,-25.962104,19.3195419311523,12.5408744812012,56.0022964477539,361.44482421875,30.152250289917,7.75874996185303,22.3935012817383,23.5964164733887,15.8540840148926,23.5964164733887,14.8747081756592,1772,199,110,18.0109577178955,505,371,505,372
"Tapirus terrestris",-54.176638,-25.917596,19.9302597045898,12.6434783935547,55.814323425293,367.553466796875,30.8447494506836,8.19200038909912,22.6527481079102,22.1250839233398,16.3662910461426,24.2692489624023,15.3815002441406,1745,197,106,17.2646331787109,481,354,478,361
"Tapirus terrestris",-42.622769,-22.464363,17.8142604827881,9.94618701934814,58.0375633239746,235.780380249023,25.820499420166,8.68299961090088,17.1375007629395,20.5025424957275,14.8510417938232,20.6853332519531,14.8510417938232,1404,239,30,65.5711364746094,644,98,587,98
"Tapirus terrestris",-42.686385,-22.544548,22.6726875305176,10.1679162979126,59.4484634399414,225.632995605469,31.0109996795654,13.9072504043579,17.1037483215332,25.5003757476807,19.9155406951904,25.5003757476807,19.9155406951904,1228,184,26,59.9138526916504,540,100,540,100
"Tapirus terrestris",-60.59353,-25.662411,21.9631042480469,12.8268756866455,53.6072540283203,410.870178222656,33.7999992370605,9.87249946594238,23.9274997711182,26.2475833892822,16.8730010986328,26.8509578704834,16.8730010986328,919,150,16,60.7616424560547,362,57,342,57
"Tapirus terrestris",-60.564641,-25.708858,21.8076362609863,12.8273544311523,53.866455078125,412.652679443359,33.6607513427734,9.84749984741211,23.8132514953613,26.1442070007324,16.7321662902832,26.740083694458,16.7321662902832,928,153,17,60.9258155822754,364,58,342,58
"Tapirus terrestris",-60.457318,-25.738783,21.8278656005859,12.7381458282471,53.7100601196289,409.484619140625,33.6204986572266,9.90399932861328,23.7164993286133,26.1652507781982,16.7727508544922,26.7212085723877,16.7727508544922,957,155,18,59.0453109741211,370,62,346,62
"Tapirus terrestris",-48.521399,-24.371359,18.9634895324707,9.77281188964844,52.9304428100586,312.26611328125,27.5547504425049,9.0912504196167,18.4635009765625,22.5316257476807,15.0812921524048,22.5316257476807,15.0812921524048,1410,196,55,40.7922096252441,547,206,547,206
"Tapirus terrestris",-48.401736,-24.2034,17.5754890441895,9.87802028656006,53.9944801330566,300.739959716797,26.0517501831055,7.75724983215332,18.2945003509521,21.0228748321533,13.8201665878296,21.0228748321533,13.8201665878296,1398,205,49,46.4583358764648,564,188,564,188
"Tapirus terrestris",-47.961235,-24.017243,18.1445941925049,9.08010387420654,53.5896987915039,280.897064208984,26.0072498321533,9.06350040435791,16.9437484741211,21.3967914581299,14.6351251602173,21.4226245880127,14.6351251602173,1458,207,52,47.7882308959961,590,174,564,174
"Tapirus terrestris",-52.970765,-18.339786,21.5544891357422,12.4146041870117,67.2295227050781,167.221664428711,29.2767505645752,10.8107500076294,18.4659996032715,22.7036247253418,19.2830009460449,22.9468326568604,19.0901660919189,1588,297,23,69.200798034668,747,77,569,111
"Tapirus terrestris",-56.777725,-9.291458,26.383228302002,10.9791240692139,67.0747222900391,51.9254684448242,35.1527481079102,18.7842502593994,16.3684978485107,25.7698745727539,26.6907081604004,27.0769996643066,25.7698745727539,2100,334,8,69.7899169921875,930,45,305,930
"Tapirus terrestris",-42.681101,-22.435124,19.3262805938721,10.1610622406006,58.9499931335449,231.195098876953,27.4825000762939,10.2457504272461,17.2367496490479,21.9834175109863,16.4497089385986,22.1760425567627,16.4497089385986,1424,233,30,64.5186462402344,649,100,607,100
"Tapirus terrestris",-76.652033,0.075924,24.8642807006836,9.38852024078369,87.1688613891602,50.3784675598145,30.4104995727539,19.6400012969971,10.7704982757568,24.4520835876465,25.2599582672119,25.4620418548584,24.2258758544922,3622,385,223,20.057445526123,1127,689,892,1054
